"","subject","flanked","freq","sens","sensconfi_low","sensconfi_high","threshold","threshconfi_low","threshconfi_high","distortion","log_freq"
"87","RM","unflanked",4,8.88587,1.868216,3.19611,0.112538,0.02977,0.02996,"RF",1.38629436111989
"88","RM","unflanked",5,22.492781,11.465994,45.895057,0.044459,0.029836,0.04623,"RF",1.6094379124341
"89","RM","unflanked",8,12.160077,3.131525,6.346437,0.082236,0.028201,0.028523,"RF",2.07944154167984
"90","RM","unflanked",12,13.174888,3.743011,7.427711,0.075902,0.027364,0.030121,"RF",2.484906649788
"91","RM","flanked",2,3.320024,0.504647,0.697617,0.301203,0.0523,0.05399,"RF",0.693147180559945
"92","RM","flanked",3,4.379543,0.970655,1.847586,0.228334,0.067747,0.065016,"RF",1.09861228866811
"93","RM","flanked",4,4.660639,0.91704,2.017561,0.214563,0.064822,0.05256,"RF",1.38629436111989
"94","RM","flanked",5,5.1687,0.867197,1.241699,0.193472,0.037476,0.039005,"RF",1.6094379124341
"95","RM","flanked",8,7.033965,2.471282,8.196288,0.142167,0.076509,0.077002,"RF",2.07944154167984
"96","RM","flanked",12,14.102237,4.508298,16.87456,0.070911,0.038629,0.033322,"RF",2.484906649788
"97","ST","unflanked",2,7.428859,1.06181,1.348114,0.13461,0.020676,0.022448,"RF",0.693147180559945
"98","ST","unflanked",3,9.762693,1.581714,2.681818,0.102431,0.022074,0.019804,"RF",1.09861228866811
"99","ST","unflanked",4,9.265417,1.263067,1.587622,0.107928,0.015788,0.017035,"RF",1.38629436111989
"100","ST","unflanked",5,15.29591,3.423895,5.79164,0.065377,0.017956,0.018855,"RF",1.6094379124341
"101","ST","unflanked",8,13.318665,3.114219,6.442878,0.075083,0.024479,0.022914,"RF",2.07944154167984
"102","ST","unflanked",12,15.632912,4.957096,10.927103,0.063968,0.026317,0.029702,"RF",2.484906649788
"103","ST","flanked",2,4.124011,0.700281,0.900935,0.242482,0.043475,0.049597,"RF",0.693147180559945
"104","ST","flanked",3,6.017034,1.905077,3.049559,0.166195,0.0559,0.076998,"RF",1.09861228866811
"105","ST","flanked",4,7.295925,2.235912,2.694998,0.137063,0.036972,0.060565,"RF",1.38629436111989
"106","ST","flanked",5,5.905705,1.076539,2.834811,0.169328,0.054918,0.037747,"RF",1.6094379124341
"107","ST","flanked",8,6.581914,1.329188,1.881558,0.151931,0.033777,0.038446,"RF",2.07944154167984
"108","ST","flanked",12,11.623936,3.703241,9.642972,0.086029,0.039008,0.040222,"RF",2.484906649788
"109","TW","unflanked",2,6.880839,1.402795,2.364356,0.145331,0.037167,0.037216,"RF",0.693147180559945
"110","TW","unflanked",3,8.996653,1.612486,2.808874,0.111152,0.026446,0.024272,"RF",1.09861228866811
"111","TW","unflanked",4,9.665799,1.961771,2.639549,0.103458,0.022192,0.026345,"RF",1.38629436111989
"112","TW","unflanked",5,11.306125,2.53504,3.87655,0.088448,0.022583,0.025563,"RF",1.6094379124341
"113","TW","unflanked",8,15.736675,3.776218,4.801572,0.063546,0.014856,0.020063,"RF",2.07944154167984
"114","TW","unflanked",12,17.114222,6.948135,16.366758,0.058431,0.028563,0.039935,"RF",2.484906649788
"115","TW","flanked",2,3.142075,0.468364,0.547831,0.318261,0.047251,0.055751,"RF",0.693147180559945
"116","TW","flanked",3,3.536261,0.718061,1.063524,0.282785,0.065383,0.072052,"RF",1.09861228866811
"117","TW","flanked",4,4.558704,1.203921,3.104443,0.219361,0.088866,0.078721,"RF",1.38629436111989
"118","TW","flanked",5,4.801586,0.862098,1.257377,0.208265,0.04322,0.045576,"RF",1.6094379124341
"119","TW","flanked",8,4.548551,0.726889,1.007401,0.21985,0.039863,0.041816,"RF",2.07944154167984
"120","TW","flanked",12,8.226939,1.457041,2.290852,0.121552,0.026475,0.026161,"RF",2.484906649788
