"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"84","TW",1,14," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_2_r_H_2.0.png"," H"," r"," t"," n.a.",0.5432506,"a",0
"85","TW",1,15," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_8_b_K_2.0.png"," K"," b"," b"," n.a.",0.5614448,"a",1
"86","TW",1,15," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_4_t_D_2.0.png"," D"," t"," l"," n.a.",0.3379724,"a",0
"87","TW",1,15," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_7_r_H_2.0.png"," H"," r"," t"," n.a.",0.4773872,"a",0
"88","TW",1,15," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_5_t_N_2.0.png"," N"," t"," r"," n.a.",1.001316,"a",0
"89","TW",1,15," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_2_b_K_2.0.png"," K"," b"," t"," n.a.",0.3136282,"a",0
"90","TW",1,15," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_0_r_N_2.0.png"," N"," r"," b"," n.a.",0.3304443,"a",0
"91","TW",1,16," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_6_t_D_2.0.png"," D"," t"," t"," n.a.",0.5902587,"a",1
"92","TW",1,16," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_2_l_N_2.0.png"," N"," l"," r"," n.a.",0.191326,"a",0
"93","TW",1,16," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_0_t_D_2.0.png"," D"," t"," r"," n.a.",0.3516176,"a",0
"94","TW",1,16," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_5_l_H_2.0.png"," H"," l"," t"," n.a.",0.4008704,"a",0
"95","TW",1,16," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_4_l_D_2.0.png"," D"," l"," b"," n.a.",0.2247522,"a",0
"96","TW",1,16," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_2_l_D_2.0.png"," D"," l"," r"," n.a.",0.7851995,"a",0
"97","TW",1,17," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_3_l_H_2.0.png"," H"," l"," l"," n.a.",0.3998863,"a",1
"98","TW",1,17," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_7_t_D_2.0.png"," D"," t"," b"," n.a.",0.3104689,"a",0
"99","TW",1,17," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_8_r_H_2.0.png"," H"," r"," t"," n.a.",0.6221494,"a",0
"100","TW",1,17," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_9_t_K_2.0.png"," K"," t"," l"," n.a.",0.530993,"a",0
"101","TW",1,17," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_5_t_K_2.0.png"," K"," t"," l"," n.a.",0.2776637,"a",0
"102","TW",1,17," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_9_r_N_2.0.png"," N"," r"," t"," n.a.",0.724526,"a",0
"103","TW",1,18," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_6_b_N_2.0.png"," N"," b"," b"," n.a.",0.3623389,"a",1
"104","TW",1,18," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_7_b_H_2.0.png"," H"," b"," l"," n.a.",0.2867688,"a",0
"105","TW",1,18," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_1_r_H_2.0.png"," H"," r"," b"," n.a.",0.4407175,"a",0
"106","TW",1,18," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_1_l_N_2.0.png"," N"," l"," b"," n.a.",0.1759131,"a",0
"107","TW",1,18," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_4_b_N_2.0.png"," N"," b"," t"," n.a.",0.4394606,"a",0
"108","TW",1,18," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_1_l_K_2.0.png"," K"," l"," l"," n.a.",0.6529448,"a",1
"109","TW",1,19," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_3_l_H_2.0.png"," H"," l"," l"," n.a.",0.4307193,"a",1
"110","TW",1,19," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_2_r_K_2.0.png"," K"," r"," t"," n.a.",0.1718791,"a",0
"111","TW",1,19," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_8_b_N_2.0.png"," N"," b"," r"," n.a.",0.4367766,"a",0
"112","TW",1,19," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_3_t_K_2.0.png"," K"," t"," l"," n.a.",0.2991777,"a",0
"113","TW",1,19," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_5_t_D_2.0.png"," D"," t"," b"," n.a.",0.40324,"a",0
"114","TW",1,19," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_9_r_H_2.0.png"," H"," r"," b"," n.a.",0.4470424,"a",0
"115","TW",1,20," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_8_r_N_2.0.png"," N"," r"," r"," n.a.",0.3082417,"a",1
"116","TW",1,20," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_5_b_N_2.0.png"," N"," b"," b"," n.a.",0.1409863,"a",1
"117","TW",1,20," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_7_b_N_2.0.png"," N"," b"," l"," n.a.",0.4966629,"a",0
"118","TW",1,20," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_0_r_D_2.0.png"," D"," r"," r"," n.a.",0.3667527,"a",1
"119","TW",1,20," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_2_b_D_2.0.png"," D"," b"," l"," n.a.",0.5498972,"a",0
"120","TW",1,20," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_0_l_H_2.0.png"," H"," l"," l"," n.a.",0.8422862,"a",1
"121","TW",1,21," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_4_r_H_2.0.png"," H"," r"," r"," n.a.",0.2737499,"a",1
"122","TW",1,21," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_4_b_D_2.0.png"," D"," b"," l"," n.a.",0.2373893,"a",0
"123","TW",1,21," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_7_b_K_2.0.png"," K"," b"," b"," n.a.",0.2060373,"a",1
"124","TW",1,21," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_4_l_K_2.0.png"," K"," l"," t"," n.a.",0.4771407,"a",0
"125","TW",1,21," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_9_l_K_2.0.png"," K"," l"," l"," n.a.",0.5220053,"a",1
"126","TW",1,21," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_0_b_H_2.0.png"," H"," b"," t"," n.a.",0.5709756,"a",0
"127","TW",1,22," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_0_t_D_2.0.png"," D"," t"," t"," n.a.",0.3983416,"a",1
"128","TW",1,22," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_8_b_N_2.0.png"," N"," b"," r"," n.a.",0.2399725,"a",0
"129","TW",1,22," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_8_l_K_2.0.png"," K"," l"," t"," n.a.",0.3828208,"a",0
"130","TW",1,22," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_3_t_N_2.0.png"," N"," t"," b"," n.a.",0.221991,"a",0
"131","TW",1,22," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_1_l_K_2.0.png"," K"," l"," b"," n.a.",0.6476814,"a",0
